Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom
4.907,0.989,1.09,0.555,0.36
4.876,0.68,0.55,0.383,0.522
4.875,0.752,0.645,0.051,0.279
4.871,0.694,0.756,0.584,0.268
4.813,1.118,0.389,0.642,0.225
4.795,0.612,0.638,0.236,0.427
4.793,0.446,0.697,0.501,0.37
4.754,0.67,0.716,0.568,0.177
4.655,0.955,0.502,0.73,0.319
4.643,0.542,0.247,0.53,0.398
4.635,0.365,0.628,0.0,0.307
4.575,1.075,0.592,0.511,0.249
4.574,0.933,0.704,0.347,0.486
4.513,0.525,0.625,0.127,0.427
4.508,0.293,0.379,0.346,0.367
4.459,1.024,0.961,0.186,0.425
4.415,0.973,0.848,0.62,0.508
4.404,0.74,0.292,0.451,0.403
4.395,0.341,0.7,0.399,0.427
4.362,0.954,0.498,0.521,0.188
4.36,0.861,0.625,0.641,0.14
4.356,0.523,0.762,0.301,0.406
4.324,0.873,1.014,0.586,0.129
4.276,0.631,0.494,0.297,0.41
4.272,0.057,0.807,0.188,0.156
4.252,0.838,0.192,0.64,0.325
4.236,0.771,0.478,0.282,0.379
4.219,0.443,0.774,0.405,0.311
4.217,1.113,0.925,0.678,0.212
4.201,0.614,0.841,0.286,0.127
4.193,0.35,0.715,0.16,0.254
4.156,0.087,0.147,0.294,0.414
4.139,0.631,0.819,0.298,0.0
4.121,1.159,0.724,0.349,0.281
4.073,0.313,0.863,0.163,0.275
4.028,0.341,0.296,0.275,0.121
3.974,1.094,0.892,0.348,0.441
3.956,0.275,0.603,0.3,0.154
3.916,0.555,0.576,0.045,0.407
3.907,0.556,0.538,0.425,0.589
3.866,0.847,0.664,0.05,0.006
3.856,0.133,0.605,0.262,0.38
3.832,0.394,0.185,0.158,0.197
3.763,0.422,0.632,0.038,0.128
3.739,0.32,0.631,0.213,0.334
3.739,0.347,0.91,0.196,0.437
3.724,0.579,0.475,0.31,0.229
3.695,0.28,0.461,0.371,0.137
3.666,0.472,0.776,0.357,0.318
3.622,0.107,0.504,0.232,0.257
3.607,0.224,0.311,0.188,0.31
3.515,0.328,0.616,0.319,0.543
3.484,0.395,0.104,0.21,0.397
3.36,0.382,0.11,0.173,0.164
3.303,0.281,0.0,0.248,0.347
3.069,0.747,0.149,0.63,0.069
2.905,0.068,0.234,0.157,0.043
7.537,1.616,1.534,0.797,0.635
7.522,1.482,1.551,0.793,0.626
7.504,1.481,1.611,0.834,0.627
7.494,1.565,1.517,0.858,0.62
7.469,1.444,1.54,0.809,0.618
7.377,1.504,1.429,0.811,0.585
7.316,1.479,1.481,0.835,0.611
7.314,1.406,1.548,0.817,0.614
7.284,1.494,1.478,0.831,0.613
7.284,1.484,1.51,0.844,0.602
7.213,1.375,1.376,0.838,0.406
7.079,1.11,1.416,0.76,0.58
7.006,1.487,1.46,0.815,0.568
6.993,1.546,1.42,0.774,0.506
6.977,1.536,1.558,0.81,0.573
6.951,1.488,1.473,0.799,0.563
6.891,1.464,1.462,0.818,0.54
6.863,1.742,1.458,0.845,0.597
6.714,1.442,1.496,0.805,0.508
6.652,1.253,1.284,0.819,0.377
6.648,1.626,1.266,0.727,0.608
6.635,1.107,1.431,0.617,0.437
6.609,1.353,1.434,0.754,0.491
6.599,1.185,1.44,0.695,0.495
6.578,1.153,1.211,0.71,0.413
6.572,1.692,1.354,0.949,0.55
6.527,1.343,1.488,0.822,0.589
6.454,1.218,1.412,0.719,0.579
6.454,0.872,1.256,0.54,0.531
6.452,1.234,1.373,0.706,0.55
6.442,1.431,1.388,0.844,0.47
6.424,1.128,1.426,0.647,0.58
6.422,1.434,1.385,0.794,0.361
6.403,1.384,1.532,0.889,0.409
6.375,1.871,1.274,0.71,0.604
6.357,1.071,1.402,0.595,0.477
6.344,1.531,1.287,0.59,0.45
6.168,1.361,1.38,0.52,0.519
6.105,1.633,1.26,0.632,0.496
6.098,1.325,1.505,0.713,0.296
6.087,1.488,1.323,0.653,0.537
6.084,1.291,1.285,0.619,0.402
6.071,0.737,1.287,0.653,0.448
6.008,1.001,1.286,0.686,0.455
6.003,0.91,1.182,0.596,0.432
5.973,1.292,1.446,0.699,0.52
5.971,0.786,1.549,0.498,0.658
5.964,1.395,1.445,0.853,0.256
5.963,1.282,1.469,0.547,0.374
5.956,0.908,1.081,0.45,0.548
5.92,1.417,1.436,0.913,0.506
5.902,1.315,1.474,0.629,0.234
5.872,1.092,1.146,0.618,0.233
5.85,1.261,1.405,0.639,0.326
5.838,1.402,1.128,0.9,0.258
5.838,0.729,1.252,0.589,0.241
5.825,1.218,1.15,0.685,0.457
5.823,0.834,1.228,0.474,0.559
5.822,1.131,1.493,0.438,0.418
5.819,1.285,1.384,0.606,0.437
5.81,1.347,1.186,0.835,0.471
5.758,1.341,1.453,0.791,0.573
5.715,1.035,1.219,0.63,0.45
5.629,1.189,1.21,0.638,0.491
5.621,1.356,1.131,0.845,0.355
5.611,1.321,1.477,0.695,0.479
5.569,1.157,1.445,0.638,0.295
5.525,1.102,1.358,0.52,0.466
5.5,1.198,1.338,0.638,0.301
5.493,0.933,1.507,0.579,0.474
5.472,1.552,1.263,0.943,0.491
5.43,0.858,1.254,0.468,0.585
5.395,1.069,1.258,0.651,0.209
5.336,0.991,1.239,0.605,0.418
5.324,1.286,1.343,0.688,0.176
5.311,0.926,1.368,0.641,0.474
5.293,1.223,0.968,0.701,0.256
5.279,0.951,1.138,0.541,0.26
5.273,1.081,1.161,0.741,0.473
5.269,0.727,0.673,0.402,0.235
5.262,0.996,1.274,0.492,0.443
5.25,1.128,1.431,0.617,0.154
5.237,1.121,1.238,0.667,0.195
5.235,0.878,0.775,0.598,0.408
5.234,1.154,1.152,0.541,0.398
5.23,1.079,1.402,0.575,0.553
5.227,1.289,1.239,0.81,0.096
5.225,1.075,1.13,0.735,0.289
5.195,1.315,1.367,0.796,0.498
